dollars_pledged,campaign_duration
20,30
1497,30
8795,30
2,35
230,37
9316,45
161,30
0,30
306,30
111,20
405,30
101,30
2,60
2525,30
1525,30
1494,30
3667.13,16
5847,30
425,60
1,30
1488,25
20,51
1026,30
1401,30
12545,30
30,60
1651,30
6419,40
0,30
0,30
281,45
4001,45
185,28
0,30
281,30
8086,30
1254,30
0,30
9071,30
5276.01,35
4268,33
45026,40
7071,60
242014,46
912,30
26206,21
10604,30
30,30
6000,40
310,30
5117,26
978,45
0,14
2470,30
5475,60
4373,50
306,45
2246,44
300,30
2880,14
1752,30
8046,24
0,30
57,42
870,30
1592,14
668,60
0,30
4063,24
2345,43
206,60
2500,30
1,30
75064.49,30
5,46
2587.11,30
0,30
2251,30
61,9
0,22
9170,40
711,32
31376,37
2245,30
1979,30
5816,31
20,60
9,35
1620,26
0,30
1486,47
2225,35
174010.09,30
1028,35
1643,30
4229,23
12080,90
225,30
50,59
30,30
3260,28
10,30
0,30
170,50
80,30
150,40
20,10
7800,30
734.5,60
1000,48
2685,45
26936.4,30
0,60
0,30
0,21
0,30
4587,8
0,30
5001,30
2046,30
5316,30
2751,39
26,15
1,30
0,45
0,30
0,45
5558,51
0,60
2512,32
0,15
25,40
4736,24
10538.02,35
500,60
3221,30
755,21
6,40
100,45
5465.02,47
0,30
0,30
2556,60
443.25,30
25815,31
586,27
3577,30
0,30
25201,30
5,21
2295,15
11722,29
35987,43
489,25
0,7
5226,21
10694.67,41
801,30
0,30
1075,24
55,24
236,30
1310,56
66,11
0,27
31776,30
270,21
81,30
345,30
740,31
25648,30
1681,28
8141,30
25751,45
451,30
20142.18,30
136,60
3582.45,35
0,30
110,30
30,10
3175,33
0,60
2342,60
17176.12,30
260,30
2510,30
201,45
7184,45
0,30
0,30
813,30
8567.77,90
1603,30
4080,20
6504.01,31
120,60
0,30
738,30
25,30
260,45
10652.42,35
0,30
22064,30
20731.33,35
424615,31
241,30
4343,30
25,14
457,15
2587,30
9000,60
61422.7,35
2879.66,30
21,30
2500,7
50,86
5621,38
14450,60
0,21
37994.34,27
815,30
62.66,60
196,30
0,30
365,30
9666,30
11,60
311,30
1056,18
6347,30
1323,11
24,15
4361,31
4052,30
21,30
5656,15
6190,30
40,30
270,30
83,30
0,6
725,30
806,24
5260,30
1525,82
62367,40
100,30
70,30
10121.73,34
1010,46
0,30
9,30
4081,30
0,30
0,60
4280.66,59
780,19
1170,30
64,30
0,29
52,30
107,60
0,40
0,59
1505,30
10,14
4542,60
4737.99,45
883460.8,42
180,21
112476.44,40
3015,30
50,30
225,30
0,30
0,30
4228,30
0,55
1438,34
830,30
28109,30
5275,42
1,60
7010,30
1,30
868,18
10,45
135,30
864,30
16837,30
1228,30
1050,90
290,30
10433,35
3030.06,58
7957.91,17
0,30
2625,30
2000,59
1,45
214,30
75,30
36021.98,32
0,41
5400,60
100,30
520,30
5,45
41656,30
2562,20
105,61
11,15
0,30
265,30
8255,31
2850,17
0,30
45,30
2506,30
0,60
14057,33
399,30
1101,30
25,31
4208,30
0,30
5387,30
7336,30
9527,30
10178,34
0,90
2207,29
3405,12
6172,31
5145,30
9228.66,30
146,30
0,30
0,30
8076,32
0,30
740.58,40
110,30
640.5,35
41,20
1,60
1214,60
60,29
10406,30
1,28
2276,30
0,30
10795,60
15,32
0,30
1250,30
121,15
5475,30
2155,31
2,24
1072,30
5155,30
0,30
1000,30
50,35
1885,30
5275,30
0,45
136,30
19770,32
225,29
1657,33
0,35
1552,30
5150,30
51,30
1617,45
210,45
240,60
155,44
930,24
91,30
0,30
8593,35
374.83,30
0,60
15195,22
1,30
1455,14
20535.2,40
95,30
1826,30
0,30
0,30
9355,30
252,30
2287,30
1123.45,61
3012,60
25805.85,15
0,30
6089,72
5,30
6,60
8041,45
0,30
200,30
1327,36
11507,30
14851,25
8354,45
148,30
0,20
2046.13,14
795,19
1135,30
25025,30
954,30
33,30
0,16
901,30
12497,28
10375,30
28490.42,20
146,30
475,30
10,30
3725.37,23
320,31
520,30
1,86
1200,31
1,60
80,91
0,58
2819,28
3180.51,25
0,88
1602.71,39
1670,20
898,30
3,30
25,60
14472.18,30
18979,45
7940.5,31
1131.69,30
0,30
305.01,15
646,30
30806.06,43
2696,29
584,31
3436,31
30,41
56,60
5436,35
5554,45
0,60
41,30
4590,24
0,30
2,60
6758,30
2045,30
534,45
21011,14
1950,30
2778,30
25,28
1561,33
16602,30
320,32
0,32
360,30
0,30
201,30
241,30
0,30
59,30
3520.92,90
11720,46
3169,30
2605,30
78,30
0,25
0,60
532,30
2645,20
2436,38
0,60
2101,35
63,19
6280,30
412,30
0,30
0,30
105,27
0,30
5599,47
882,23
376,58
2480,31
0,30
631,23
0,30
13066,31
5,30
8424.5,59
6031,25
23001,30
1300.98,30
12242,33
16926,31
3282.66,30
903,30
76,30
3239,60
0,30
40,45
12701,2
0,59
1,25
131,50
935,30
1540,25
130,30
502,29
15424.25,45
2,30
95,30
780,10
4409.77,60
12695,30
1032,30
25269.61,45
1016,60
125,90
10903.17,16
20,60
4240,60
132023.5,57
520,60
2,30
51,60
0,30
0,30
2557.01,22
0,30
7310,42
2697,30
40905.35,35
32000,32
1,27
11040,30
10135,32
162,30
70,30
16,30
140,16
1336,30
210,30
3875,30
0,30
0,16
4019,18
316,60
116270,41
16595,16
126,30
1,60
142,30
5,30
11305,56
1,35
160,30
1,30
0,15
1170,9
355,60
5,30
237,30
1656,11
1,30
720,40
51,30
500,19
2,60
57,30
17000,30
3327,46
0,29
1630,45
203188,30
0,30
0,30
5025.5,60
6003.4,38
0,50
