campaign_duration,dollars_pledged
30,20
30,413.81
30,1497
30,8795
35,2
37,230
45,9316
30,161
30,0
30,306
20,111
30,405
30,101
60,2
30,2525
30,1525
30,1494
16,3667.13
30,5847
60,425
30,1
29,4453.34
25,1488
21,20.25
51,20
30,1026
30,1401
30,12545
60,30
30,1651
40,6419
30,0
30,0
45,281
31,0
45,4001
28,185
30,0
30,281
30,8086
30,1254
30,0
30,9071
30,82.16
35,5276.01
33,4268
40,45026
60,7071
46,242014
30,912
21,26206
30,10604
30,30
40,6000
30,40.86
30,310
26,5117
45,978
14,0
30,2470
31,15.34
60,5475
50,4373
45,306
44,2246
30,0
30,300
14,2880
30,1752
24,8046
30,0
42,57
30,870
14,1592
60,668
30,0
24,4063
43,2345
60,206
30,2500
30,1
30,75064.49
30,67.84
30,6720.96
46,5
30,2587.11
30,0
30,2251
30,54.9
9,61
22,0
40,9170
32,711
37,31376
30,55619.77
32,6883.35
30,2245
30,1979
31,5816
60,20
35,9
20,465.32
26,1620
30,0
47,1486
35,2225
30,174010.09
35,1028
30,1643
23,4229
90,12080
30,225
59,50
30,2230.77
30,30
60,316.77
28,3260
30,10
30,0
50,170
21,4864.68
30,80
40,150
30,3.06
10,20
30,7800
60,734.5
30,0
48,1000
45,2685
30,26936.4
60,0
30,0
21,0
30,0
8,4587
30,0
30,5001
30,2046
30,0
30,5316
39,2751
45,93856.97
15,26
30,1
45,0
30,0
45,0
19,3048.04
51,5558
40,593.09
60,0
32,2512
30,38423.29
15,0
25,1418.04
40,25
24,4736
35,10538.02
60,500
30,3221
21,755
40,6
45,100
47,5465.02
30,563.12
30,0
30,921.61
30,0
60,2556
18,619.45
30,443.25
31,25815
30,42.92
27,586
30,3577
30,0
30,25201
21,5
15,2295
25,17.38
29,11722
43,35987
36,6300.27
25,489
7,0
60,8.04
21,5226
30,2044.49
30,22.55
41,10694.67
5,1.46
30,801
30,0
24,1075
24,55
30,236
56,1310
25,285.71
11,66
27,0
45,1406.1
30,31776
21,270
30,81
30,345
30,638.81
31,740
30,25648
28,1681
30,8141
45,25751
30,19106.52
30,6428.02
30,451
30,20142.18
60,136
60,31.05
35,3582.45
30,0
30,110
10,30
30,466.64
33,3175
60,0
31,1160.18
30,0
60,2342
30,17176.12
30,260
30,2510
45,201
45,7184
30,0
30,0
30,813
90,8567.77
30,1603
20,4080
45,393.19
60,86.1
31,6504.01
60,120
30,0
30,738
30,25
45,260
35,10652.42
30,0
30,0
30,0
35,612.94
30,22064
35,20731.33
31,424615
30,241
30,4343
14,25
31,1.09
15,457
30,2587
60,9000
